P_VTD,cntCBlk,Total,Anglo,AngleVAP,Hisp,HispVAP,VAP,BH,BHVAP,Black,BlackVAP,Other,OtherVAP
316,60,1766,1870,1406,217,131,1602,239,145,24,16,80,51
317,58,3627,2951,2056,275,158,2494,303,173,29,16,373,265
318,32,1292,722,438,106,59,760,117,65,11,6,453,257
319,55,3254,2882,2246,248,146,2463,292,168,50,24,80,49
320,52,2352,2135,1803,141,97,1955,168,116,27,19,49,36
321,7,564,471,403,40,31,475,50,41,11,10,43,31
323,39,3293,2160,2040,511,452,3040,647,570,148,125,486,430
324,120,7198,5648,3842,719,424,4777,845,491,135,72,705,444
325,51,7,7,7,0,0,7,0,0,0,0,0,0
326,48,3419,2010,1441,209,122,2311,230,140,30,22,1179,730
327,46,3801,2977,2349,342,237,2945,404,289,68,56,420,307
328,66,5710,4155,3602,700,563,4816,975,777,294,225,580,437
329,151,4218,2935,2849,596,554,4061,984,929,407,394,299,283
330,41,3843,3121,2190,234,132,2620,268,148,36,16,454,282
331,45,3656,2623,2036,258,163,2720,326,210,77,53,707,474
332,60,3331,2751,2337,395,283,2747,469,328,81,49,111,82
333,54,5042,3148,2230,428,270,3405,555,359,134,93,1339,816
334,61,3970,2943,2314,235,152,2975,293,198,68,51,734,463
335,40,3829,2401,1902,318,221,2827,408,281,99,66,1020,644
336,37,2887,2085,1599,171,109,2112,201,136,30,27,601,377
337,43,5017,4037,3281,469,321,3990,571,404,109,87,409,305
338,160,6701,5541,4012,649,393,4733,709,432,70,43,451,289
339,51,2518,1803,1488,446,321,1989,619,431,182,112,96,70
340,31,1922,1547,1441,218,191,1776,272,242,59,55,103,93
341,13,0,0,0,0,0,0,0,0,0,0,0,0
342,78,5723,4683,4148,717,600,5012,827,696,128,108,213,168
343,12,4637,3127,2712,877,671,3869,1190,902,349,248,320,255
344,36,2246,1424,1254,595,414,1822,718,486,129,74,104,82
345,1,3,3,3,0,0,3,0,0,0,0,0,0
346,108,3784,3393,2616,223,132,2897,270,165,49,34,169,116
347,66,3554,2886,2275,320,219,2725,348,243,29,25,320,207
